ship_type,shipname
Tanker,BALTIC AMBITION
Cargo,RUTH
Cargo,BF FORTALEZA
Cargo,WILHELM
Cargo,BELBEK
Tanker,TEKOS
Passenger,PRINCESS ANASTASIA
Cargo,HENNEKE RAMBOW
Cargo,MISANA
Cargo,HVITANES
Cargo,SILVER PEARL
Cargo,EYSTNES
Tanker,CPO GERMANY
Cargo,STORTEBEKER
Cargo,FRI PORSGRUNN
Cargo,NORDEROOG
Cargo,SUEDEROOG
Cargo,HOOGE
Cargo,LISTER
Cargo,WYBELSUM
Tanker,ORAKAI
Cargo,NJORD
Cargo,TRICA
Cargo,PLYCA
Cargo,FAST HERMAN
Cargo,PITZTAL
Cargo,TERSCHELLING
Cargo,OOCL RAUMA
Cargo,ATLANTIC RUNNER
Tanker,BESIKTAS HALLAND
Cargo,KAPITAN MIRONOV
Cargo,KAPITAN YAKOVLEV
Cargo,KAIE
Tanker,BALTIC FROST
Cargo,KEGUMS
Tanker,EKEN
Tanker,EKFORS
Cargo,LAVAUX
Unspecified,TEST-0192
Tug,SEMYON DEZHNEV
Tug,IVAN KRUZENSHTERN
Tug,SAT AIS
Tug,KAPITAN NIKOLAEV
Pleasure,MIR
Tug,KAPITAN SOROKIN
Tug,ERMAK
Tanker,TAYMEN
Tug,GRIFON 5
Tanker,KOLA
Tug,VIKHREVOY
Tanker,AURA
Tug,MOSCHNYI
Tug,KAPITAN PLAKHIN
Cargo,SORMOVSKIY-3056
Cargo,OMSKIY-132
Tug,TYPHOON
Tug,GRIFON 3
Cargo,OMSKIY-134
Tanker,ABIGAIL
Tanker,ANGARA
Tug,AKMAL
Cargo,SORMOVSKIY-53
Unspecified,JIYA
Tug,BREST
Tug,KONSTANTIN
Tug,GRIFON7
Tanker,SULA
Tanker,VALERIY ZELENKO
Cargo,SERDOLIK
Tanker,GAZPROMNEFT WEST
Tanker,VOVAN
Tug,SANKT-PETERBURG
Cargo,NOVAYA ZEMLYA
Tanker,GAZPROMNEFT EAST
